IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.86.230,2087,2087,true,SIN,Asia Pacific,Singapore,111,4.92
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,52,4.91
8.210.119.11,8443,8443,true,HKG,Asia Pacific,Hong Kong,105,4.91
47.236.180.51,2083,2083,true,SIN,Asia Pacific,Singapore,115,4.90
8.222.162.45,2096,2096,true,SIN,Asia Pacific,Singapore,36,4.90
47.237.86.185,2083,2083,true,SIN,Asia Pacific,Singapore,118,4.90
8.219.237.250,8443,8443,true,SIN,Asia Pacific,Singapore,93,4.89
8.210.9.129,443,443,true,HKG,Asia Pacific,Hong Kong,56,4.89
47.236.254.120,2096,2096,true,SIN,Asia Pacific,Singapore,63,4.88
8.217.145.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,4.88
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,4.88
47.237.100.206,2087,2087,true,SIN,Asia Pacific,Singapore,35,4.88
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,4.88
8.217.145.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,120,4.87
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,4.86
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,4.85
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,25,4.84
8.219.100.168,2083,2083,true,SIN,Asia Pacific,Singapore,73,4.83
8.222.146.222,8443,8443,true,SIN,Asia Pacific,Singapore,60,4.83
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,84,4.82
47.242.202.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,4.82
8.222.181.117,8443,8443,true,SIN,Asia Pacific,Singapore,88,4.82
8.210.34.188,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,4.81
8.217.49.34,2053,2053,true,HKG,Asia Pacific,Hong Kong,64,4.81
