IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.248.47,2082,2082,false,SIN,Asia Pacific,Singapore,56,9.97
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,59,9.97
47.236.5.223,8880,8880,false,SIN,Asia Pacific,Singapore,6,9.97
8.217.164.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,9.96
47.236.202.91,2083,2083,true,SIN,Asia Pacific,Singapore,256,9.96
8.219.198.34,8443,8443,true,SIN,Asia Pacific,Singapore,166,9.96
8.219.177.205,2087,2087,true,SIN,Asia Pacific,Singapore,117,9.96
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,98,9.96
8.219.193.22,8443,8443,true,SIN,Asia Pacific,Singapore,23,9.95
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,24,9.93
8.218.149.193,80,80,false,HKG,Asia Pacific,Hong Kong,107,9.93
8.219.12.152,2087,2087,true,SIN,Asia Pacific,Singapore,37,9.93
47.242.155.183,80,80,false,HKG,Asia Pacific,Hong Kong,40,9.93
8.219.42.72,2095,2095,false,SIN,Asia Pacific,Singapore,4,9.93
8.222.222.64,2086,2086,false,SIN,Asia Pacific,Singapore,5,9.93
8.219.5.10,2082,2082,false,SIN,Asia Pacific,Singapore,7,9.92
8.219.137.50,2086,2086,false,SIN,Asia Pacific,Singapore,13,9.92
47.236.116.182,2052,2052,false,SIN,Asia Pacific,Singapore,22,9.92
8.219.188.162,2083,2083,true,SIN,Asia Pacific,Singapore,73,9.92
8.222.213.221,2053,2053,true,SIN,Asia Pacific,Singapore,103,9.92
8.222.253.235,2096,2096,true,SIN,Asia Pacific,Singapore,93,9.92
8.222.221.109,443,443,true,SIN,Asia Pacific,Singapore,139,9.92
8.218.18.235,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,9.91
8.219.215.214,2052,2052,false,SIN,Asia Pacific,Singapore,37,9.91
8.219.198.139,8443,8443,true,SIN,Asia Pacific,Singapore,152,9.91
47.242.79.71,80,80,false,HKG,Asia Pacific,Hong Kong,35,9.91
8.219.245.187,2096,2096,true,SIN,Asia Pacific,Singapore,117,9.90
8.222.208.83,8080,8080,false,SIN,Asia Pacific,Singapore,7,9.89
8.222.221.90,8880,8880,false,SIN,Asia Pacific,Singapore,18,9.89
8.222.184.198,2053,2053,true,SIN,Asia Pacific,Singapore,134,9.88
8.222.208.38,2095,2095,false,SIN,Asia Pacific,Singapore,41,9.88
8.219.74.35,2053,2053,true,SIN,Asia Pacific,Singapore,77,9.87
8.222.223.34,8080,8080,false,SIN,Asia Pacific,Singapore,10,9.87
8.222.249.98,443,443,true,SIN,Asia Pacific,Singapore,53,9.87
8.219.84.214,2082,2082,false,SIN,Asia Pacific,Singapore,10,9.87
8.219.193.22,2086,2086,false,SIN,Asia Pacific,Singapore,18,9.86
47.236.116.26,2086,2086,false,SIN,Asia Pacific,Singapore,241,9.85
8.219.170.232,2086,2086,false,SIN,Asia Pacific,Singapore,11,9.85
47.236.104.98,2096,2096,true,SIN,Asia Pacific,Singapore,56,9.84
8.222.236.229,2086,2086,false,SIN,Asia Pacific,Singapore,5,9.84
8.219.220.88,8880,8880,false,SIN,Asia Pacific,Singapore,292,9.83
8.219.73.21,2083,2083,true,SIN,Asia Pacific,Singapore,73,9.83
8.210.9.129,443,443,true,HKG,Asia Pacific,Hong Kong,64,9.82
8.219.126.240,2096,2096,true,SIN,Asia Pacific,Singapore,105,9.82
8.218.156.91,2095,2095,false,HKG,Asia Pacific,Hong Kong,96,9.82
8.219.3.53,8443,8443,true,SIN,Asia Pacific,Singapore,49,9.82
8.219.186.189,2095,2095,false,SIN,Asia Pacific,Singapore,18,9.82
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,19,9.82
8.219.82.35,2096,2096,true,SIN,Asia Pacific,Singapore,161,9.81
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,213,9.81
47.236.130.95,2087,2087,true,SIN,Asia Pacific,Singapore,119,9.80
8.222.255.15,2086,2086,false,SIN,Asia Pacific,Singapore,13,9.80
