IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.141.159.74,443,443,true,FRA,Europe,Frankfurt,263,4.94
34.118.91.168,443,443,true,FRA,Europe,Frankfurt,267,4.94
34.90.145.46,443,443,true,FRA,Europe,Frankfurt,256,4.93
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,256,4.93
34.91.188.243,443,443,true,FRA,Europe,Frankfurt,256,4.92
34.91.121.200,443,443,true,FRA,Europe,Frankfurt,259,4.92
34.91.31.93,443,443,true,FRA,Europe,Frankfurt,330,4.92
34.147.71.127,443,443,true,FRA,Europe,Frankfurt,257,4.91
34.32.215.63,443,443,true,FRA,Europe,Frankfurt,261,4.91
34.91.11.74,443,443,true,FRA,Europe,Frankfurt,293,4.91
34.107.94.122,443,443,true,FRA,Europe,Frankfurt,317,4.91
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,256,4.91
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,252,4.91
34.154.103.44,443,443,true,FRA,Europe,Frankfurt,249,4.90
34.154.49.251,443,443,true,FRA,Europe,Frankfurt,252,4.90
35.204.32.219,443,443,true,FRA,Europe,Frankfurt,267,4.90
34.116.147.2,443,443,true,FRA,Europe,Frankfurt,330,4.90
34.65.29.189,443,443,true,FRA,Europe,Frankfurt,257,4.89
34.118.90.222,443,443,true,FRA,Europe,Frankfurt,265,4.89
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,258,4.89
34.118.116.97,443,443,true,FRA,Europe,Frankfurt,274,4.89
34.107.98.219,443,443,true,FRA,Europe,Frankfurt,286,4.89
34.107.17.213,443,443,true,FRA,Europe,Frankfurt,300,4.88
34.65.85.165,443,443,true,FRA,Europe,Frankfurt,251,4.88
34.65.13.41,443,443,true,FRA,Europe,Frankfurt,250,4.88
34.91.134.31,443,443,true,FRA,Europe,Frankfurt,258,4.88
34.147.127.185,443,443,true,FRA,Europe,Frankfurt,264,4.88
34.65.222.97,443,443,true,FRA,Europe,Frankfurt,251,4.88
34.90.0.5,443,443,true,FRA,Europe,Frankfurt,264,4.87
34.89.224.127,443,443,true,FRA,Europe,Frankfurt,252,4.87
34.65.220.67,443,443,true,FRA,Europe,Frankfurt,253,4.86
34.116.195.249,443,443,true,FRA,Europe,Frankfurt,269,4.86
35.204.161.213,443,443,true,FRA,Europe,Frankfurt,263,4.86
34.65.64.197,443,443,true,FRA,Europe,Frankfurt,256,4.86
34.91.228.224,443,443,true,FRA,Europe,Frankfurt,258,4.85
34.65.150.119,443,443,true,FRA,Europe,Frankfurt,250,4.85
34.107.35.197,443,443,true,FRA,Europe,Frankfurt,335,4.85
34.90.123.5,443,443,true,FRA,Europe,Frankfurt,283,4.85
34.65.16.59,443,443,true,FRA,Europe,Frankfurt,252,4.85
34.90.18.246,443,443,true,FRA,Europe,Frankfurt,257,4.84
34.90.0.5,443,443,true,FRA,Europe,Frankfurt,257,4.84
34.154.135.191,443,443,true,FRA,Europe,Frankfurt,258,4.84
34.65.54.201,443,443,true,FRA,Europe,Frankfurt,250,4.84
34.65.189.65,443,443,true,FRA,Europe,Frankfurt,257,4.83
34.65.254.136,443,443,true,FRA,Europe,Frankfurt,253,4.83
34.107.125.78,443,443,true,FRA,Europe,Frankfurt,249,4.83
34.65.16.59,443,443,true,FRA,Europe,Frankfurt,258,4.82
34.90.145.175,443,443,true,FRA,Europe,Frankfurt,257,4.82
34.65.149.27,443,443,true,FRA,Europe,Frankfurt,253,4.82
34.90.79.99,443,443,true,FRA,Europe,Frankfurt,257,4.82
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,257,4.82
34.154.12.177,443,443,true,FRA,Europe,Frankfurt,264,4.82
34.116.143.136,443,443,true,FRA,Europe,Frankfurt,317,4.81
34.65.77.172,443,443,true,FRA,Europe,Frankfurt,250,4.81
34.65.77.172,443,443,true,FRA,Europe,Frankfurt,252,4.80
35.234.85.235,443,443,true,FRA,Europe,Frankfurt,271,4.79
34.65.220.67,443,443,true,FRA,Europe,Frankfurt,258,4.79
34.65.11.153,443,443,true,FRA,Europe,Frankfurt,251,4.79
34.154.47.45,443,443,true,FRA,Europe,Frankfurt,250,4.79
34.65.64.197,443,443,true,FRA,Europe,Frankfurt,256,4.79
34.118.40.155,443,443,true,FRA,Europe,Frankfurt,335,4.78
34.116.219.165,443,443,true,FRA,Europe,Frankfurt,267,4.78
34.32.162.52,443,443,true,FRA,Europe,Frankfurt,264,4.77
34.118.11.212,443,443,true,FRA,Europe,Frankfurt,270,4.77
34.65.120.16,443,443,true,FRA,Europe,Frankfurt,250,4.77
34.116.218.79,443,443,true,FRA,Europe,Frankfurt,267,4.77
34.107.17.213,443,443,true,FRA,Europe,Frankfurt,314,4.77
34.91.31.93,443,443,true,FRA,Europe,Frankfurt,264,4.77
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,254,4.77
35.234.174.212,443,443,true,FRA,Europe,Frankfurt,264,4.77
34.34.35.197,443,443,true,FRA,Europe,Frankfurt,258,4.76
34.91.121.200,443,443,true,FRA,Europe,Frankfurt,264,4.76
34.107.43.137,443,443,true,FRA,Europe,Frankfurt,251,4.75
34.90.79.99,443,443,true,FRA,Europe,Frankfurt,258,4.75
34.65.0.157,443,443,true,FRA,Europe,Frankfurt,250,4.75
34.90.84.203,443,443,true,FRA,Europe,Frankfurt,257,4.74
34.116.166.101,443,443,true,FRA,Europe,Frankfurt,273,4.73
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,256,4.73
34.32.207.49,443,443,true,FRA,Europe,Frankfurt,290,4.73
34.118.78.73,443,443,true,FRA,Europe,Frankfurt,267,4.73
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,310,4.72
34.154.230.148,443,443,true,FRA,Europe,Frankfurt,261,4.72
34.116.149.54,443,443,true,FRA,Europe,Frankfurt,267,4.71
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,252,4.71
34.154.174.36,443,443,true,FRA,Europe,Frankfurt,265,4.71
35.234.123.182,443,443,true,FRA,Europe,Frankfurt,253,4.71
34.116.249.57,443,443,true,FRA,Europe,Frankfurt,285,4.71
34.65.118.63,443,443,true,FRA,Europe,Frankfurt,249,4.71
34.107.56.108,443,443,true,FRA,Europe,Frankfurt,251,4.70
34.159.174.220,443,443,true,FRA,Europe,Frankfurt,261,4.70
34.147.55.44,443,443,true,FRA,Europe,Frankfurt,260,4.69
34.118.121.235,443,443,true,AMS,Europe,Amsterdam,267,4.69
34.116.214.251,443,443,true,FRA,Europe,Frankfurt,266,4.69
34.89.224.127,443,443,true,FRA,Europe,Frankfurt,252,4.69
34.90.132.114,443,443,true,FRA,Europe,Frankfurt,260,4.69
34.32.255.116,443,443,true,FRA,Europe,Frankfurt,263,4.68
34.65.189.65,443,443,true,FRA,Europe,Frankfurt,258,4.68
34.65.204.3,443,443,true,FRA,Europe,Frankfurt,251,4.68
34.32.236.173,443,443,true,FRA,Europe,Frankfurt,282,4.67
34.90.88.12,443,443,true,FRA,Europe,Frankfurt,257,4.67
34.116.131.199,443,443,true,FRA,Europe,Frankfurt,279,4.66
34.147.4.61,443,443,true,FRA,Europe,Frankfurt,258,4.66
34.65.87.96,443,443,true,FRA,Europe,Frankfurt,253,4.66
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,258,4.66
35.204.115.146,443,443,true,FRA,Europe,Frankfurt,256,4.65
34.91.188.243,443,443,true,FRA,Europe,Frankfurt,257,4.64
34.65.11.153,443,443,true,FRA,Europe,Frankfurt,253,4.64
34.91.67.64,443,443,true,FRA,Europe,Frankfurt,264,4.64
34.116.166.101,443,443,true,FRA,Europe,Frankfurt,340,4.64
34.90.132.114,443,443,true,FRA,Europe,Frankfurt,258,4.64
34.90.0.5,443,443,true,FRA,Europe,Frankfurt,272,4.64
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,295,4.63
34.118.115.104,443,443,true,FRA,Europe,Frankfurt,268,4.63
34.159.59.238,443,443,true,FRA,Europe,Frankfurt,257,4.63
35.204.13.39,443,443,true,FRA,Europe,Frankfurt,264,4.63
34.118.102.66,443,443,true,FRA,Europe,Frankfurt,269,4.63
34.34.0.127,443,443,true,FRA,Europe,Frankfurt,256,4.63
34.91.31.93,443,443,true,FRA,Europe,Frankfurt,264,4.62
34.89.212.37,443,443,true,FRA,Europe,Frankfurt,249,4.62
34.65.149.214,443,443,true,FRA,Europe,Frankfurt,250,4.62
34.65.203.120,443,443,true,FRA,Europe,Frankfurt,253,4.62
34.107.35.197,443,443,true,FRA,Europe,Frankfurt,328,4.62
34.118.17.165,443,443,true,FRA,Europe,Frankfurt,269,4.61
34.65.13.41,443,443,true,FRA,Europe,Frankfurt,253,4.61
34.65.85.165,443,443,true,FRA,Europe,Frankfurt,252,4.61
34.89.145.108,443,443,true,FRA,Europe,Frankfurt,268,4.61
34.91.121.200,443,443,true,FRA,Europe,Frankfurt,257,4.61
34.65.13.41,443,443,true,FRA,Europe,Frankfurt,249,4.60
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,256,4.60
35.246.156.168,443,443,true,FRA,Europe,Frankfurt,267,4.60
34.65.85.165,443,443,true,FRA,Europe,Frankfurt,251,4.60
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,290,4.60
34.89.203.75,443,443,true,FRA,Europe,Frankfurt,252,4.60
34.90.79.99,443,443,true,FRA,Europe,Frankfurt,264,4.59
34.91.71.101,443,443,true,FRA,Europe,Frankfurt,264,4.59
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,262,4.59
34.107.17.213,443,443,true,FRA,Europe,Frankfurt,262,4.59
34.159.87.254,443,443,true,FRA,Europe,Frankfurt,265,4.58
34.116.149.54,443,443,true,FRA,Europe,Frankfurt,329,4.57
34.90.186.118,443,443,true,FRA,Europe,Frankfurt,258,4.57
