IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.20.188,443,443,true,FRA,Europe,Frankfurt,268,4.90
34.90.4.9,443,443,true,FRA,Europe,Frankfurt,269,4.89
34.116.217.100,443,443,true,FRA,Europe,Frankfurt,349,4.89
34.91.231.89,443,443,true,FRA,Europe,Frankfurt,258,4.89
34.154.45.157,443,443,true,FRA,Europe,Frankfurt,269,4.89
34.65.201.136,443,443,true,FRA,Europe,Frankfurt,253,4.89
34.65.147.135,443,443,true,FRA,Europe,Frankfurt,252,4.88
34.90.106.152,443,443,true,FRA,Europe,Frankfurt,263,4.88
34.118.46.218,443,443,true,FRA,Europe,Frankfurt,281,4.88
34.118.41.156,443,443,true,FRA,Europe,Frankfurt,417,4.87
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,251,4.86
34.65.151.47,443,443,true,FRA,Europe,Frankfurt,269,4.85
34.154.101.119,443,443,true,FRA,Europe,Frankfurt,292,4.85
34.65.128.143,443,443,true,FRA,Europe,Frankfurt,278,4.84
34.91.15.225,443,443,true,FRA,Europe,Frankfurt,259,4.84
34.154.51.154,443,443,true,FRA,Europe,Frankfurt,272,4.84
34.118.25.40,443,443,true,FRA,Europe,Frankfurt,269,4.83
34.154.222.111,443,443,true,FRA,Europe,Frankfurt,251,4.83
34.118.0.250,443,443,true,FRA,Europe,Frankfurt,322,4.82
35.246.178.139,443,443,true,FRA,Europe,Frankfurt,299,4.82
34.65.195.44,443,443,true,FRA,Europe,Frankfurt,251,4.82
34.118.5.104,443,443,true,FRA,Europe,Frankfurt,268,4.81
34.65.147.135,443,443,true,FRA,Europe,Frankfurt,255,4.81
34.34.41.100,443,443,true,FRA,Europe,Frankfurt,258,4.81
34.118.17.76,443,443,true,FRA,Europe,Frankfurt,292,4.80
34.118.105.120,443,443,true,FRA,Europe,Frankfurt,268,4.80
34.159.49.76,443,443,true,FRA,Europe,Frankfurt,272,4.79
34.91.141.104,443,443,true,FRA,Europe,Frankfurt,258,4.79
34.65.217.236,443,443,true,FRA,Europe,Frankfurt,262,4.79
34.118.17.47,443,443,true,FRA,Europe,Frankfurt,329,4.79
34.91.38.218,443,443,true,FRA,Europe,Frankfurt,259,4.79
34.116.248.5,443,443,true,FRA,Europe,Frankfurt,269,4.78
34.91.108.244,443,443,true,FRA,Europe,Frankfurt,259,4.78
34.116.174.23,443,443,true,FRA,Europe,Frankfurt,324,4.78
34.154.92.11,443,443,true,FRA,Europe,Frankfurt,265,4.78
34.118.75.249,443,443,true,FRA,Europe,Frankfurt,340,4.77
34.91.141.104,443,443,true,FRA,Europe,Frankfurt,258,4.77
34.65.96.247,443,443,true,FRA,Europe,Frankfurt,252,4.77
34.118.110.180,443,443,true,FRA,Europe,Frankfurt,268,4.76
34.116.253.183,443,443,true,FRA,Europe,Frankfurt,280,4.76
34.90.93.252,443,443,true,FRA,Europe,Frankfurt,291,4.76
34.118.123.16,443,443,true,FRA,Europe,Frankfurt,269,4.76
34.118.50.15,443,443,true,FRA,Europe,Frankfurt,298,4.76
34.116.236.193,443,443,true,FRA,Europe,Frankfurt,268,4.75
34.32.207.106,443,443,true,FRA,Europe,Frankfurt,259,4.75
34.65.195.44,443,443,true,FRA,Europe,Frankfurt,254,4.74
34.154.45.210,443,443,true,FRA,Europe,Frankfurt,272,4.74
34.65.81.183,443,443,true,FRA,Europe,Frankfurt,251,4.74
34.32.164.220,443,443,true,FRA,Europe,Frankfurt,258,4.73
34.154.143.101,443,443,true,FRA,Europe,Frankfurt,256,4.73
34.118.3.82,443,443,true,FRA,Europe,Frankfurt,268,4.73
34.65.147.135,443,443,true,FRA,Europe,Frankfurt,288,4.73
34.65.201.136,443,443,true,FRA,Europe,Frankfurt,252,4.72
34.116.139.71,443,443,true,FRA,Europe,Frankfurt,342,4.71
34.89.223.191,443,443,true,FRA,Europe,Frankfurt,251,4.71
35.246.148.196,443,443,true,FRA,Europe,Frankfurt,260,4.70
34.118.126.252,443,443,true,FRA,Europe,Frankfurt,270,4.70
34.118.1.35,443,443,true,FRA,Europe,Frankfurt,271,4.70
34.118.75.249,443,443,true,FRA,Europe,Frankfurt,268,4.70
34.34.48.189,443,443,true,FRA,Europe,Frankfurt,258,4.70
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,252,4.70
34.107.28.3,443,443,true,FRA,Europe,Frankfurt,262,4.69
34.90.91.229,443,443,true,FRA,Europe,Frankfurt,259,4.69
34.159.123.250,443,443,true,FRA,Europe,Frankfurt,252,4.69
34.154.136.212,443,443,true,FRA,Europe,Frankfurt,258,4.69
34.118.21.204,443,443,true,FRA,Europe,Frankfurt,340,4.69
34.118.75.59,443,443,true,FRA,Europe,Frankfurt,276,4.68
34.32.190.61,443,443,true,FRA,Europe,Frankfurt,287,4.67
34.118.116.9,443,443,true,FRA,Europe,Frankfurt,270,4.64
34.91.231.89,443,443,true,FRA,Europe,Frankfurt,269,4.64
34.116.236.193,443,443,true,FRA,Europe,Frankfurt,411,4.64
34.116.241.27,443,443,true,FRA,Europe,Frankfurt,272,4.63
34.65.217.236,443,443,true,FRA,Europe,Frankfurt,263,4.63
34.65.81.183,443,443,true,FRA,Europe,Frankfurt,251,4.63
34.90.125.195,443,443,true,FRA,Europe,Frankfurt,260,4.62
34.118.13.134,443,443,true,AMS,Europe,Amsterdam,272,4.62
34.65.160.189,443,443,true,FRA,Europe,Frankfurt,252,4.62
34.118.20.188,443,443,true,FRA,Europe,Frankfurt,396,4.62
34.65.128.135,443,443,true,FRA,Europe,Frankfurt,261,4.62
34.118.6.115,443,443,true,FRA,Europe,Frankfurt,269,4.60
34.65.175.149,443,443,true,FRA,Europe,Frankfurt,251,4.60
34.118.11.212,443,443,true,FRA,Europe,Frankfurt,269,4.59
34.116.148.173,443,443,true,FRA,Europe,Frankfurt,313,4.59
34.65.173.251,443,443,true,FRA,Europe,Frankfurt,255,4.58
34.107.1.24,443,443,true,FRA,Europe,Frankfurt,264,4.57
34.90.91.229,443,443,true,FRA,Europe,Frankfurt,259,4.57
34.118.62.37,443,443,true,FRA,Europe,Frankfurt,280,4.56
34.118.42.177,443,443,true,FRA,Europe,Frankfurt,307,4.56
34.118.102.66,443,443,true,FRA,Europe,Frankfurt,283,4.56
34.154.149.20,443,443,true,FRA,Europe,Frankfurt,274,4.55
34.116.167.166,443,443,true,FRA,Europe,Frankfurt,313,4.55
34.118.50.15,443,443,true,FRA,Europe,Frankfurt,288,4.55
34.118.75.59,443,443,true,FRA,Europe,Frankfurt,342,4.54
34.91.231.89,443,443,true,FRA,Europe,Frankfurt,258,4.54
34.154.154.29,443,443,true,FRA,Europe,Frankfurt,268,4.53
34.118.16.79,443,443,true,FRA,Europe,Frankfurt,281,4.53
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,252,4.52
34.118.71.179,443,443,true,FRA,Europe,Frankfurt,269,4.52
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,256,4.52
34.89.152.161,443,443,true,FRA,Europe,Frankfurt,261,4.51
34.154.209.200,443,443,true,AMS,Europe,Amsterdam,268,4.50
34.65.157.21,443,443,true,FRA,Europe,Frankfurt,261,4.48
34.118.58.9,443,443,true,FRA,Europe,Frankfurt,336,4.47
34.65.81.183,443,443,true,FRA,Europe,Frankfurt,252,4.47
34.118.71.179,443,443,true,FRA,Europe,Frankfurt,336,4.47
34.159.147.210,443,443,true,FRA,Europe,Frankfurt,260,4.46
34.118.76.197,443,443,true,FRA,Europe,Frankfurt,268,4.46
34.65.43.5,443,443,true,FRA,Europe,Frankfurt,267,4.45
34.65.217.236,443,443,true,FRA,Europe,Frankfurt,251,4.45
34.65.128.135,443,443,true,FRA,Europe,Frankfurt,258,4.45
34.154.192.148,443,443,true,FRA,Europe,Frankfurt,261,4.45
34.89.211.255,443,443,true,FRA,Europe,Frankfurt,250,4.44
34.154.58.97,443,443,true,FRA,Europe,Frankfurt,254,4.43
34.118.54.96,443,443,true,FRA,Europe,Frankfurt,268,4.43
34.32.232.77,443,443,true,FRA,Europe,Frankfurt,259,4.42
34.32.255.116,443,443,true,FRA,Europe,Frankfurt,269,4.42
34.65.160.189,443,443,true,FRA,Europe,Frankfurt,252,4.41
34.118.33.110,443,443,true,FRA,Europe,Frankfurt,279,4.40
34.65.160.189,443,443,true,FRA,Europe,Frankfurt,251,4.40
34.91.15.225,443,443,true,FRA,Europe,Frankfurt,259,4.40
34.118.6.115,443,443,true,FRA,Europe,Frankfurt,342,4.40
34.90.4.9,443,443,true,FRA,Europe,Frankfurt,267,4.39
34.118.4.227,443,443,true,FRA,Europe,Frankfurt,269,4.39
34.116.219.165,443,443,true,FRA,Europe,Frankfurt,305,4.39
34.65.173.251,443,443,true,FRA,Europe,Frankfurt,253,4.39
34.89.152.161,443,443,true,FRA,Europe,Frankfurt,253,4.39
34.154.149.13,443,443,true,FRA,Europe,Frankfurt,286,4.35
34.118.86.234,443,443,true,FRA,Europe,Frankfurt,269,4.35
34.91.108.244,443,443,true,FRA,Europe,Frankfurt,271,4.35
34.116.233.234,443,443,true,FRA,Europe,Frankfurt,334,4.33
34.118.27.184,443,443,true,FRA,Europe,Frankfurt,316,4.33
34.65.64.215,443,443,true,FRA,Europe,Frankfurt,253,4.32
