IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.240.141,443,443,true,FRA,Europe,Frankfurt,262,5.33
158.180.36.188,443,443,true,FRA,Europe,Frankfurt,249,5.28
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,82,5.24
143.47.246.67,443,443,true,FRA,Europe,Frankfurt,262,5.21
152.70.155.147,443,443,true,LAX,North America,Los Angeles,186,5.21
140.238.95.73,443,443,true,FRA,Europe,Frankfurt,266,5.20
204.216.105.106,8443,8443,true,YUL,North America,Montréal,286,5.19
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,123,5.16
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,69,5.16
143.47.224.33,443,443,true,FRA,Europe,Frankfurt,195,5.16
141.144.245.220,443,443,true,FRA,Europe,Frankfurt,318,5.15
144.21.57.56,443,443,true,FRA,Europe,Frankfurt,263,5.10
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,99,5.07
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,5.07
130.162.188.246,443,443,true,FRA,Europe,Frankfurt,265,5.06
143.47.227.174,443,443,true,FRA,Europe,Frankfurt,262,5.06
150.230.121.103,443,443,true,FRA,Europe,Frankfurt,265,5.06
141.147.105.82,443,443,true,FRA,Europe,Frankfurt,195,4.93
130.162.169.222,443,443,true,FRA,Europe,Frankfurt,310,4.92
138.2.152.171,443,443,true,FRA,Europe,Frankfurt,251,4.92
132.145.54.84,8443,443,true,LHR,Europe,London,247,4.90
158.101.208.93,443,443,true,FRA,Europe,Frankfurt,319,4.89
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,252,4.86
143.47.255.201,443,443,true,FRA,Europe,Frankfurt,262,4.84
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,261,4.82
130.162.177.132,443,443,true,FRA,Europe,Frankfurt,311,4.79
132.145.54.84,2053,443,true,LHR,Europe,London,248,4.79
140.238.95.73,443,443,true,FRA,Europe,Frankfurt,262,4.75
129.159.47.255,443,443,true,SJC,North America,San Jose,179,4.75
193.123.61.78,443,443,true,FRA,Europe,Frankfurt,310,4.73
138.2.226.15,443,443,true,SJC,North America,San Jose,184,4.70
146.235.219.98,443,443,true,SJC,North America,San Jose,183,4.68
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,203,4.62
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,199,4.59
141.147.83.93,443,443,true,FRA,Europe,Frankfurt,262,4.56
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,112,4.46
152.67.231.219,443,443,true,SJC,North America,San Jose,185,4.45
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,200,4.45
146.56.157.246,443,443,true,NRT,Asia Pacific,Tokyo,125,4.36
141.148.225.126,443,443,true,FRA,Europe,Frankfurt,308,4.33
150.136.87.192,443,443,true,IAD,North America,Ashburn,226,4.31
143.47.188.204,443,443,true,FRA,Europe,Frankfurt,308,4.29
144.21.41.139,443,443,true,FRA,Europe,Frankfurt,245,4.29
141.148.238.211,443,443,true,FRA,Europe,Frankfurt,317,4.27
152.70.55.170,443,443,true,FRA,Europe,Frankfurt,312,4.25
143.47.243.144,2053,443,true,LHR,Europe,London,247,4.25
143.47.243.144,8443,443,true,LHR,Europe,London,247,4.24
84.235.165.181,443,443,true,FRA,Europe,Frankfurt,246,4.24
129.146.254.39,443,443,true,LAX,North America,Los Angeles,177,4.23
193.123.63.244,443,443,true,FRA,Europe,Frankfurt,315,4.23
141.144.205.9,443,443,true,FRA,Europe,Frankfurt,318,4.22
158.180.15.60,443,443,true,FRA,Europe,Frankfurt,308,4.19
143.47.177.112,443,443,true,FRA,Europe,Frankfurt,248,4.18
158.101.203.221,443,443,true,FRA,Europe,Frankfurt,319,4.17
144.21.39.42,443,443,true,FRA,Europe,Frankfurt,312,4.16
143.47.181.187,443,443,true,FRA,Europe,Frankfurt,319,4.16
130.61.204.200,443,443,true,FRA,Europe,Frankfurt,314,4.15
152.70.63.67,443,443,true,FRA,Europe,Frankfurt,312,4.15
141.144.201.183,443,443,true,FRA,Europe,Frankfurt,314,4.15
155.248.196.123,443,443,true,YVR,North America,Vancouver,191,4.14
84.235.161.94,443,443,true,FRA,Europe,Frankfurt,243,4.12
132.145.239.123,443,443,true,FRA,Europe,Frankfurt,246,4.12
84.235.172.5,443,443,true,FRA,Europe,Frankfurt,250,4.11
84.235.165.232,443,443,true,FRA,Europe,Frankfurt,314,4.11
193.123.63.231,443,443,true,FRA,Europe,Frankfurt,314,4.09
158.101.210.148,443,443,true,FRA,Europe,Frankfurt,329,4.09
144.21.34.249,443,443,true,FRA,Europe,Frankfurt,316,4.09
158.180.13.249,443,443,true,FRA,Europe,Frankfurt,308,4.08
143.47.177.232,443,443,true,FRA,Europe,Frankfurt,311,4.08
141.144.198.66,443,443,true,FRA,Europe,Frankfurt,316,4.08
132.226.197.226,443,443,true,FRA,Europe,Frankfurt,182,4.07
84.235.169.195,443,443,true,FRA,Europe,Frankfurt,316,4.07
141.148.228.106,443,443,true,FRA,Europe,Frankfurt,245,4.07
152.70.52.216,443,443,true,FRA,Europe,Frankfurt,250,4.06
192.18.139.229,8443,443,true,SJC,North America,San Jose,169,4.06
158.101.223.208,443,443,true,FRA,Europe,Frankfurt,254,4.06
158.101.209.125,443,443,true,FRA,Europe,Frankfurt,314,4.05
141.147.43.17,443,443,true,FRA,Europe,Frankfurt,248,4.05
144.21.62.247,443,443,true,FRA,Europe,Frankfurt,263,4.05
158.178.151.29,443,443,true,FRA,Europe,Frankfurt,315,4.04
150.230.23.217,443,443,true,FRA,Europe,Frankfurt,319,4.04
158.101.206.109,443,443,true,FRA,Europe,Frankfurt,248,4.04
141.144.197.83,443,443,true,FRA,Europe,Frankfurt,313,4.04
158.101.201.223,443,443,true,FRA,Europe,Frankfurt,312,4.03
193.123.61.79,443,443,true,FRA,Europe,Frankfurt,342,4.03
193.123.39.175,443,443,true,FRA,Europe,Frankfurt,260,4.02
158.101.204.98,443,443,true,FRA,Europe,Frankfurt,315,4.02
193.123.34.185,443,443,true,FRA,Europe,Frankfurt,342,4.01
193.123.39.206,443,443,true,FRA,Europe,Frankfurt,322,4.01
132.226.207.90,443,443,true,FRA,Europe,Frankfurt,317,4.01
138.3.255.164,443,443,true,FRA,Europe,Frankfurt,252,3.99
