IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.54.157,2086,2086,false,HKG,Asia Pacific,Hong Kong,54,9.12
8.219.159.232,8080,8080,false,SIN,Asia Pacific,Singapore,9,9.10
47.236.144.196,2096,2096,true,SIN,Asia Pacific,Singapore,79,9.10
8.222.150.197,80,80,false,SIN,Asia Pacific,Singapore,11,9.09
8.222.222.64,443,443,true,SIN,Asia Pacific,Singapore,99,9.09
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,75,9.09
8.218.52.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,69,9.09
8.219.151.193,443,443,true,NRT,Asia Pacific,Tokyo,80,9.09
8.219.110.88,2082,2082,false,SIN,Asia Pacific,Singapore,31,9.09
8.219.100.155,443,443,true,SIN,Asia Pacific,Singapore,99,9.09
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,52,9.08
8.222.221.109,80,80,false,SIN,Asia Pacific,Singapore,18,9.08
8.219.251.81,443,443,true,SIN,Asia Pacific,Singapore,78,9.08
8.222.236.229,2082,2082,false,SIN,Asia Pacific,Singapore,10,9.08
8.219.51.211,2096,2096,true,SIN,Asia Pacific,Singapore,27,9.07
8.222.224.17,2095,2095,false,SIN,Asia Pacific,Singapore,26,9.06
8.222.193.208,2053,2053,true,SIN,Asia Pacific,Singapore,83,9.06
8.219.245.187,443,443,true,SIN,Asia Pacific,Singapore,54,9.06
8.219.126.3,8443,8443,true,SIN,Asia Pacific,Singapore,131,9.06
8.218.136.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,9.06
8.219.201.8,2087,2087,true,SIN,Asia Pacific,Singapore,116,9.06
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,24,9.06
8.219.84.214,2086,2086,false,SIN,Asia Pacific,Singapore,29,9.05
8.218.2.181,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,9.05
8.219.159.232,2082,2082,false,SIN,Asia Pacific,Singapore,20,9.05
8.219.103.65,443,443,true,SIN,Asia Pacific,Singapore,48,9.04
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,60,9.04
8.219.72.50,2053,2053,true,SIN,Asia Pacific,Singapore,98,9.04
8.219.114.201,2095,2095,false,SIN,Asia Pacific,Singapore,43,9.03
8.219.40.37,2087,2087,true,SIN,Asia Pacific,Singapore,99,9.03
8.222.249.98,2087,2087,true,SIN,Asia Pacific,Singapore,119,9.03
8.210.66.190,8080,8080,false,HKG,Asia Pacific,Hong Kong,58,9.03
8.219.122.96,2096,2096,true,SIN,Asia Pacific,Singapore,60,9.02
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,107,9.02
8.219.152.195,2083,2083,true,SIN,Asia Pacific,Singapore,24,9.02
8.219.113.232,2086,2086,false,SIN,Asia Pacific,Singapore,30,9.02
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,129,9.02
8.219.201.245,8443,8443,true,SIN,Asia Pacific,Singapore,80,9.01
8.219.122.55,2052,2052,false,SIN,Asia Pacific,Singapore,11,9.00
8.219.13.143,2083,2083,true,SIN,Asia Pacific,Singapore,44,9.00
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,8.99
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,8.99
47.236.125.62,2082,2082,false,NRT,Asia Pacific,Tokyo,98,8.99
8.219.100.155,2082,2082,false,SIN,Asia Pacific,Singapore,14,8.99
