IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.97.27,443,443,true,FRA,Europe,Frankfurt,255,4.52
34.147.17.183,443,443,true,FRA,Europe,Frankfurt,272,4.52
34.141.208.102,443,443,true,FRA,Europe,Frankfurt,264,4.52
34.141.227.169,443,443,true,FRA,Europe,Frankfurt,263,4.52
34.65.59.29,443,443,true,FRA,Europe,Frankfurt,256,4.51
34.91.199.198,443,443,true,FRA,Europe,Frankfurt,265,4.51
34.116.172.212,443,443,true,FRA,Europe,Frankfurt,383,4.51
34.107.65.94,443,443,true,FRA,Europe,Frankfurt,255,4.51
34.159.127.230,443,443,true,FRA,Europe,Frankfurt,307,4.50
34.65.36.136,443,443,true,FRA,Europe,Frankfurt,282,4.50
34.65.169.129,443,443,true,FRA,Europe,Frankfurt,255,4.50
35.204.40.100,443,443,true,FRA,Europe,Frankfurt,263,4.49
34.65.230.145,443,443,true,FRA,Europe,Frankfurt,250,4.49
34.65.159.16,443,443,true,FRA,Europe,Frankfurt,253,4.48
34.65.3.109,443,443,true,FRA,Europe,Frankfurt,256,4.46
34.65.169.129,443,443,true,FRA,Europe,Frankfurt,249,4.44
34.118.126.252,443,443,true,FRA,Europe,Frankfurt,266,4.44
34.65.71.15,443,443,true,FRA,Europe,Frankfurt,252,4.44
34.65.127.145,443,443,true,FRA,Europe,Frankfurt,257,4.43
34.107.95.31,443,443,true,FRA,Europe,Frankfurt,297,4.43
35.204.39.56,443,443,true,FRA,Europe,Frankfurt,268,4.42
35.246.245.201,443,443,true,FRA,Europe,Frankfurt,264,4.42
35.204.84.99,443,443,true,FRA,Europe,Frankfurt,260,4.41
34.147.119.30,443,443,true,FRA,Europe,Frankfurt,329,4.41
34.118.33.218,443,443,true,FRA,Europe,Frankfurt,346,4.41
34.116.206.226,443,443,true,FRA,Europe,Frankfurt,309,4.41
34.89.175.126,443,443,true,FRA,Europe,Frankfurt,267,4.41
34.90.199.90,443,443,true,FRA,Europe,Frankfurt,257,4.40
34.141.129.84,443,443,true,FRA,Europe,Frankfurt,256,4.40
34.90.117.230,443,443,true,FRA,Europe,Frankfurt,262,4.40
34.65.58.3,443,443,true,FRA,Europe,Frankfurt,264,4.39
34.65.58.3,443,443,true,FRA,Europe,Frankfurt,250,4.39
34.65.157.21,443,443,true,FRA,Europe,Frankfurt,274,4.39
34.91.37.222,443,443,true,FRA,Europe,Frankfurt,262,4.38
34.141.165.123,443,443,true,FRA,Europe,Frankfurt,263,4.38
34.91.9.40,443,443,true,FRA,Europe,Frankfurt,259,4.37
34.90.157.98,443,443,true,FRA,Europe,Frankfurt,262,4.37
34.118.92.152,443,443,true,FRA,Europe,Frankfurt,269,4.36
34.90.101.178,443,443,true,FRA,Europe,Frankfurt,258,4.36
34.91.47.18,443,443,true,FRA,Europe,Frankfurt,262,4.35
34.90.124.144,443,443,true,FRA,Europe,Frankfurt,261,4.35
34.65.219.255,443,443,true,FRA,Europe,Frankfurt,250,4.35
34.65.219.255,443,443,true,FRA,Europe,Frankfurt,252,4.35
34.65.138.124,443,443,true,FRA,Europe,Frankfurt,252,4.35
34.65.101.177,443,443,true,FRA,Europe,Frankfurt,283,4.35
34.116.143.167,443,443,true,FRA,Europe,Frankfurt,510,4.34
34.65.27.255,443,443,true,FRA,Europe,Frankfurt,250,4.34
34.65.176.196,443,443,true,FRA,Europe,Frankfurt,252,4.34
34.159.81.210,443,443,true,FRA,Europe,Frankfurt,284,4.33
34.65.99.15,443,443,true,FRA,Europe,Frankfurt,251,4.32
34.65.184.13,443,443,true,FRA,Europe,Frankfurt,250,4.32
34.34.7.17,443,443,true,FRA,Europe,Frankfurt,258,4.31
34.65.37.122,443,443,true,FRA,Europe,Frankfurt,257,4.31
34.91.9.40,443,443,true,FRA,Europe,Frankfurt,256,4.29
34.65.253.40,443,443,true,FRA,Europe,Frankfurt,252,4.28
34.154.45.210,443,443,true,FRA,Europe,Frankfurt,258,4.28
34.91.54.160,443,443,true,FRA,Europe,Frankfurt,260,4.27
34.65.213.124,443,443,true,FRA,Europe,Frankfurt,261,4.27
34.65.36.136,443,443,true,FRA,Europe,Frankfurt,254,4.27
34.116.169.139,443,443,true,FRA,Europe,Frankfurt,271,4.26
34.105.140.105,443,443,true,LHR,Europe,London,238,4.26
34.65.172.12,443,443,true,FRA,Europe,Frankfurt,251,4.25
34.159.115.89,443,443,true,FRA,Europe,Frankfurt,407,4.25
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,251,4.24
34.65.71.15,443,443,true,FRA,Europe,Frankfurt,250,4.24
34.107.85.111,443,443,true,FRA,Europe,Frankfurt,251,4.23
34.65.176.196,443,443,true,FRA,Europe,Frankfurt,255,4.23
35.204.152.220,443,443,true,FRA,Europe,Frankfurt,259,4.23
34.105.140.105,443,443,true,LHR,Europe,London,187,4.22
34.90.42.240,443,443,true,FRA,Europe,Frankfurt,266,4.22
34.116.251.225,443,443,true,FRA,Europe,Frankfurt,322,4.22
34.116.157.246,443,443,true,FRA,Europe,Frankfurt,321,4.22
34.116.223.193,443,443,true,FRA,Europe,Frankfurt,338,4.21
34.65.172.12,443,443,true,FRA,Europe,Frankfurt,257,4.21
34.89.175.126,443,443,true,FRA,Europe,Frankfurt,264,4.21
34.65.183.109,443,443,true,FRA,Europe,Frankfurt,252,4.20
34.65.81.138,443,443,true,FRA,Europe,Frankfurt,255,4.20
34.65.97.221,443,443,true,FRA,Europe,Frankfurt,260,4.20
34.91.9.40,443,443,true,FRA,Europe,Frankfurt,266,4.19
34.116.215.190,443,443,true,FRA,Europe,Frankfurt,314,4.19
34.91.107.241,443,443,true,FRA,Europe,Frankfurt,262,4.19
34.65.172.12,443,443,true,FRA,Europe,Frankfurt,274,4.18
34.65.141.48,443,443,true,FRA,Europe,Frankfurt,252,4.18
34.34.12.236,443,443,true,FRA,Europe,Frankfurt,256,4.18
