IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
89.168.95.229,443,443,true,FRA,Europe,Frankfurt,325,4.13
130.61.8.87,443,443,true,FRA,Europe,Frankfurt,312,4.13
141.147.105.142,443,443,true,FRA,Europe,Frankfurt,288,4.13
143.47.183.31,443,443,true,FRA,Europe,Frankfurt,324,4.12
158.180.45.87,443,443,true,FRA,Europe,Frankfurt,320,4.11
130.162.48.144,443,443,true,FRA,Europe,Frankfurt,335,4.11
158.180.16.243,443,443,true,FRA,Europe,Frankfurt,332,4.11
89.168.83.13,443,443,true,FRA,Europe,Frankfurt,314,4.10
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,306,4.10
158.101.182.177,443,443,true,FRA,Europe,Frankfurt,321,4.10
143.47.183.132,443,443,true,FRA,Europe,Frankfurt,320,4.09
158.101.180.183,443,443,true,FRA,Europe,Frankfurt,327,4.09
89.168.123.164,443,443,true,FRA,Europe,Frankfurt,317,4.09
144.24.189.85,443,443,true,FRA,Europe,Frankfurt,320,4.09
158.101.212.251,443,443,true,FRA,Europe,Frankfurt,312,4.08
84.235.171.68,443,443,true,FRA,Europe,Frankfurt,336,4.08
141.144.197.88,443,443,true,FRA,Europe,Frankfurt,316,4.07
141.147.9.103,443,443,true,FRA,Europe,Frankfurt,315,4.06
144.21.35.81,443,443,true,FRA,Europe,Frankfurt,317,4.06
141.147.26.91,443,443,true,FRA,Europe,Frankfurt,330,4.06
84.8.151.141,443,443,true,FRA,Europe,Frankfurt,256,4.06
132.145.245.240,443,443,true,FRA,Europe,Frankfurt,317,4.05
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,323,4.04
84.235.174.155,443,443,true,FRA,Europe,Frankfurt,314,4.04
158.101.193.127,443,443,true,FRA,Europe,Frankfurt,312,4.03
150.136.61.148,443,443,true,IAD,North America,Ashburn,244,4.03
89.168.117.234,443,443,true,FRA,Europe,Frankfurt,336,4.03
130.162.59.25,443,443,true,FRA,Europe,Frankfurt,315,4.03
130.61.96.226,443,443,true,FRA,Europe,Frankfurt,318,4.03
152.70.56.61,443,443,true,FRA,Europe,Frankfurt,256,4.03
130.162.50.40,443,443,true,FRA,Europe,Frankfurt,321,4.02
193.123.57.31,443,443,true,FRA,Europe,Frankfurt,317,4.02
138.3.253.7,443,443,true,FRA,Europe,Frankfurt,338,4.01
158.101.201.148,443,443,true,FRA,Europe,Frankfurt,261,4.01
143.47.177.112,443,443,true,FRA,Europe,Frankfurt,316,4.01
138.3.240.2,443,443,true,FRA,Europe,Frankfurt,311,4.00
158.180.41.173,443,443,true,FRA,Europe,Frankfurt,318,4.00
158.180.21.243,443,443,true,FRA,Europe,Frankfurt,311,3.99
129.159.250.237,443,443,true,FRA,Europe,Frankfurt,314,3.99
