IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.97.244,443,443,true,FRA,Europe,Frankfurt,281,4.70
141.147.64.179,443,443,true,FRA,Europe,Frankfurt,261,4.70
141.147.88.173,443,443,true,FRA,Europe,Frankfurt,300,4.68
144.21.59.134,443,443,true,FRA,Europe,Frankfurt,264,4.68
143.47.255.0,443,443,true,FRA,Europe,Frankfurt,263,4.67
129.151.152.254,80,80,false,AMS,Europe,Amsterdam,80,4.66
158.180.12.136,443,443,true,FRA,Europe,Frankfurt,254,4.66
146.235.219.98,443,443,true,SJC,North America,San Jose,192,4.65
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,184,4.65
141.148.238.224,443,443,true,FRA,Europe,Frankfurt,253,4.65
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,69,4.64
141.147.113.67,443,443,true,FRA,Europe,Frankfurt,280,4.60
140.238.94.76,443,443,true,FRA,Europe,Frankfurt,263,4.60
192.9.250.249,443,443,true,SJC,North America,San Jose,175,4.59
141.147.107.151,443,443,true,FRA,Europe,Frankfurt,257,4.59
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,69,4.58
84.8.151.19,443,443,true,FRA,Europe,Frankfurt,264,4.57
192.18.134.251,443,443,true,SJC,North America,San Jose,181,4.55
141.144.192.210,443,443,true,FRA,Europe,Frankfurt,319,4.53
84.8.150.67,443,443,true,FRA,Europe,Frankfurt,280,4.48
141.147.111.15,443,443,true,FRA,Europe,Frankfurt,273,4.48
84.8.156.174,443,443,true,FRA,Europe,Frankfurt,304,4.48
158.101.212.155,443,443,true,FRA,Europe,Frankfurt,314,4.48
132.226.129.4,443,443,true,FRA,Europe,Frankfurt,255,4.46
129.153.119.97,443,443,true,LAX,North America,Los Angeles,198,4.40
132.226.212.75,443,443,true,FRA,Europe,Frankfurt,267,4.40
152.67.150.185,443,443,true,FRA,Europe,Frankfurt,257,4.31
129.153.213.8,443,443,true,LAX,North America,Los Angeles,206,4.31
141.147.67.68,443,443,true,FRA,Europe,Frankfurt,265,4.29
132.226.207.49,443,443,true,FRA,Europe,Frankfurt,330,4.19
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,318,4.17
144.21.40.227,443,443,true,FRA,Europe,Frankfurt,326,4.16
130.162.40.12,443,443,true,FRA,Europe,Frankfurt,317,4.15
141.144.252.227,443,443,true,FRA,Europe,Frankfurt,314,4.15
