IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.219.43,443,443,true,FRA,Europe,Frankfurt,261,5.22
144.21.63.229,443,443,true,FRA,Europe,Frankfurt,267,5.22
141.147.94.136,443,443,true,FRA,Europe,Frankfurt,257,5.22
138.3.243.183,443,443,true,FRA,Europe,Frankfurt,248,5.21
140.238.52.86,443,443,true,NRT,Asia Pacific,Tokyo,72,5.20
193.123.32.239,443,443,true,FRA,Europe,Frankfurt,254,5.19
89.168.74.84,443,443,true,FRA,Europe,Frankfurt,251,5.19
140.238.81.44,443,443,true,FRA,Europe,Frankfurt,255,5.18
151.145.70.243,443,443,true,NRT,Asia Pacific,Tokyo,89,5.18
89.168.69.98,443,443,true,FRA,Europe,Frankfurt,247,5.16
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,110,5.14
84.235.170.162,443,443,true,FRA,Europe,Frankfurt,283,5.13
138.2.129.189,443,443,true,FRA,Europe,Frankfurt,253,5.12
132.226.208.1,443,443,true,FRA,Europe,Frankfurt,271,5.12
150.230.22.42,443,443,true,FRA,Europe,Frankfurt,256,5.06
84.235.165.141,443,443,true,FRA,Europe,Frankfurt,318,5.06
158.101.98.60,2095,443,true,IAD,North America,Ashburn,225,5.05
89.168.104.108,443,443,true,FRA,Europe,Frankfurt,257,5.04
152.67.148.208,443,443,true,FRA,Europe,Frankfurt,263,5.04
130.162.241.109,443,443,true,FRA,Europe,Frankfurt,247,5.03
158.101.180.183,443,443,true,FRA,Europe,Frankfurt,247,5.02
158.101.202.30,443,443,true,FRA,Europe,Frankfurt,281,5.02
141.147.62.130,443,443,true,FRA,Europe,Frankfurt,249,5.02
158.101.192.187,443,443,true,FRA,Europe,Frankfurt,322,5.02
152.70.49.208,443,443,true,FRA,Europe,Frankfurt,268,5.01
141.148.244.13,443,443,true,FRA,Europe,Frankfurt,254,4.99
141.147.93.0,443,443,true,FRA,Europe,Frankfurt,266,4.99
141.147.113.0,443,443,true,FRA,Europe,Frankfurt,267,4.98
158.101.201.8,443,443,true,FRA,Europe,Frankfurt,261,4.97
193.123.37.117,443,443,true,FRA,Europe,Frankfurt,238,4.95
130.162.213.33,443,443,true,FRA,Europe,Frankfurt,249,4.92
84.235.171.168,443,443,true,FRA,Europe,Frankfurt,258,4.91
158.180.21.243,443,443,true,FRA,Europe,Frankfurt,247,4.90
130.162.47.252,443,443,true,FRA,Europe,Frankfurt,249,4.89
193.123.39.172,443,443,true,FRA,Europe,Frankfurt,273,4.87
152.69.227.103,443,443,true,ICN,Asia Pacific,Seoul,69,4.87
152.67.132.221,443,443,true,FRA,Europe,Frankfurt,291,4.86
150.230.119.80,443,443,true,FRA,Europe,Frankfurt,267,4.84
141.147.65.11,443,443,true,FRA,Europe,Frankfurt,264,4.81
141.147.45.246,443,443,true,FRA,Europe,Frankfurt,249,4.79
130.162.34.211,443,443,true,FRA,Europe,Frankfurt,270,4.78
130.162.220.168,443,443,true,FRA,Europe,Frankfurt,249,4.78
158.180.47.50,443,443,true,FRA,Europe,Frankfurt,249,4.77
152.67.129.94,443,443,true,FRA,Europe,Frankfurt,267,4.76
84.8.155.236,443,443,true,FRA,Europe,Frankfurt,257,4.75
144.24.184.5,443,443,true,FRA,Europe,Frankfurt,260,4.74
140.238.126.30,443,443,true,FRA,Europe,Frankfurt,258,4.74
141.147.82.166,443,443,true,FRA,Europe,Frankfurt,264,4.72
193.123.60.92,443,443,true,FRA,Europe,Frankfurt,275,4.72
141.147.109.221,443,443,true,FRA,Europe,Frankfurt,261,4.67
146.235.219.98,443,443,true,SJC,North America,San Jose,175,4.67
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,100,4.67
158.101.222.200,443,443,true,FRA,Europe,Frankfurt,255,4.67
144.21.34.146,443,443,true,FRA,Europe,Frankfurt,282,4.65
144.24.181.78,443,443,true,FRA,Europe,Frankfurt,249,4.64
193.123.58.105,443,443,true,FRA,Europe,Frankfurt,261,4.63
143.47.247.15,443,443,true,FRA,Europe,Frankfurt,274,4.60
152.70.56.200,443,443,true,FRA,Europe,Frankfurt,255,4.60
141.147.91.175,443,443,true,FRA,Europe,Frankfurt,257,4.60
193.123.36.193,443,443,true,FRA,Europe,Frankfurt,261,4.60
152.70.51.2,443,443,true,FRA,Europe,Frankfurt,319,4.59
141.147.75.43,443,443,true,FRA,Europe,Frankfurt,260,4.56
141.147.59.145,443,443,true,FRA,Europe,Frankfurt,251,4.53
130.162.234.189,443,443,true,FRA,Europe,Frankfurt,249,4.48
