IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
144.21.48.23,443,443,true,FRA,Europe,Frankfurt,278,5.43
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,95,5.39
152.70.55.37,443,443,true,FRA,Europe,Frankfurt,254,5.39
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,115,5.39
141.147.114.94,443,443,true,FRA,Europe,Frankfurt,265,5.32
130.162.163.120,443,443,true,FRA,Europe,Frankfurt,265,5.27
143.47.227.230,443,443,true,FRA,Europe,Frankfurt,280,5.27
84.8.145.88,443,443,true,FRA,Europe,Frankfurt,340,5.25
152.67.134.194,443,443,true,FRA,Europe,Frankfurt,357,5.24
144.21.59.134,443,443,true,FRA,Europe,Frankfurt,279,5.23
152.67.151.113,443,443,true,FRA,Europe,Frankfurt,279,5.16
132.226.128.228,443,443,true,FRA,Europe,Frankfurt,269,5.09
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,69,5.07
140.83.61.244,443,443,true,HKG,Asia Pacific,Hong Kong,89,5.07
140.238.82.48,443,443,true,FRA,Europe,Frankfurt,277,5.06
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,254,5.05
144.21.50.184,443,443,true,FRA,Europe,Frankfurt,258,5.00
141.147.116.29,443,443,true,FRA,Europe,Frankfurt,278,5.00
143.47.238.198,443,443,true,FRA,Europe,Frankfurt,280,4.96
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,98,4.94
144.21.63.68,443,443,true,FRA,Europe,Frankfurt,280,4.92
129.146.248.140,443,443,true,LAX,North America,Los Angeles,208,4.91
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,103,4.88
84.8.145.110,443,443,true,FRA,Europe,Frankfurt,310,4.85
150.230.63.93,443,443,true,KIX,Asia Pacific,Osaka,96,4.79
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,249,4.75
132.145.54.84,8443,443,true,LHR,Europe,London,264,4.73
132.226.135.67,443,443,true,FRA,Europe,Frankfurt,278,4.68
138.3.253.140,8080,8080,false,FRA,Europe,Frankfurt,249,4.67
140.238.195.98,443,443,true,SYD,Oceania,Sydney,94,4.65
144.21.40.212,443,443,true,FRA,Europe,Frankfurt,305,4.65
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,248,4.51
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,209,4.50
84.8.153.192,443,443,true,FRA,Europe,Frankfurt,342,4.44
146.56.133.140,2096,80,false,NRT,Asia Pacific,Tokyo,99,4.33
158.101.24.17,443,443,true,LAX,North America,Los Angeles,200,4.27
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,249,4.24
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,247,4.20
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,320,4.17
130.162.167.96,443,443,true,FRA,Europe,Frankfurt,272,4.13
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,317,4.12
143.47.243.144,2053,443,true,LHR,Europe,London,269,4.06
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,247,4.05
138.2.151.154,443,443,true,FRA,Europe,Frankfurt,320,4.02
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,315,4.02
141.147.42.32,443,443,true,FRA,Europe,Frankfurt,249,4.02
132.145.255.96,443,443,true,FRA,Europe,Frankfurt,247,4.00
152.70.52.48,443,443,true,FRA,Europe,Frankfurt,257,3.96
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,253,3.95
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,255,3.92
158.101.209.150,443,443,true,FRA,Europe,Frankfurt,256,3.92
152.70.52.92,443,443,true,FRA,Europe,Frankfurt,255,3.91
158.101.212.30,443,443,true,FRA,Europe,Frankfurt,256,3.90
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,258,3.90
132.145.252.71,443,443,true,FRA,Europe,Frankfurt,247,3.89
84.235.160.154,443,443,true,FRA,Europe,Frankfurt,254,3.88
193.123.57.18,443,443,true,FRA,Europe,Frankfurt,334,3.86
150.230.23.156,443,443,true,FRA,Europe,Frankfurt,255,3.85
158.180.25.17,443,443,true,FRA,Europe,Frankfurt,247,3.83
158.180.17.241,443,443,true,FRA,Europe,Frankfurt,249,3.83
158.178.144.116,443,443,true,FRA,Europe,Frankfurt,256,3.83
141.144.230.233,443,443,true,FRA,Europe,Frankfurt,247,3.82
144.24.168.238,443,443,true,FRA,Europe,Frankfurt,324,3.82
143.47.243.144,8443,443,true,LHR,Europe,London,269,3.82
89.168.114.192,443,443,true,FRA,Europe,Frankfurt,254,3.80
129.153.213.8,443,443,true,LAX,North America,Los Angeles,241,3.80
144.24.163.50,443,443,true,FRA,Europe,Frankfurt,249,3.76
140.238.81.87,443,443,true,FRA,Europe,Frankfurt,280,3.74
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,248,3.69
140.238.158.238,443,443,true,YYZ,North America,Toronto,269,3.68
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,315,3.63
143.47.182.56,2053,443,true,AMS,Europe,Amsterdam,252,3.61
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,267,3.52
132.145.10.2,443,443,true,FRA,Europe,Frankfurt,281,3.52
129.146.213.36,80,443,true,LAX,North America,Los Angeles,281,3.45
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,313,3.43
84.235.174.99,443,443,true,FRA,Europe,Frankfurt,257,3.41
168.138.70.29,443,443,true,YYZ,North America,Toronto,311,3.40
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,246,3.40
129.159.83.88,8443,443,true,IAD,North America,Ashburn,230,3.36
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,247,3.21
144.21.34.206,443,443,true,FRA,Europe,Frankfurt,303,3.20
132.145.54.84,2053,443,true,LHR,Europe,London,265,3.16
140.238.195.98,443,443,true,SYD,Oceania,Sydney,93,3.12
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,254,3.11
193.123.64.217,443,443,true,CDG,Europe,Paris,81,3.06
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,247,3.02
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,83,2.99
193.123.233.143,2096,80,false,NRT,Asia Pacific,Tokyo,118,2.96
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,247,2.96
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,322,2.85
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,110,2.84
164.152.17.14,443,443,true,ORD,North America,Chicago,220,2.75
158.180.231.216,443,443,true,MRS,Europe,Marseille,309,2.72
158.178.147.138,443,443,true,FRA,Europe,Frankfurt,355,2.63
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,311,2.50
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,99,2.39
143.47.186.54,443,443,true,FRA,Europe,Frankfurt,260,2.21
