IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,250,5.10
34.118.36.86,443,443,true,FRA,Europe,Frankfurt,289,5.10
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,271,5.10
34.147.16.159,443,443,true,FRA,Europe,Frankfurt,258,5.10
34.116.153.78,443,443,true,FRA,Europe,Frankfurt,316,5.10
34.89.206.136,443,443,true,FRA,Europe,Frankfurt,251,5.09
34.141.31.202,443,443,true,FRA,Europe,Frankfurt,250,5.09
34.118.11.220,443,443,true,FRA,Europe,Frankfurt,272,5.09
34.90.18.246,443,443,true,FRA,Europe,Frankfurt,255,5.09
34.107.5.109,443,443,true,FRA,Europe,Frankfurt,320,5.08
34.154.95.104,443,443,true,FRA,Europe,Frankfurt,252,5.08
34.65.50.163,443,443,true,FRA,Europe,Frankfurt,250,5.07
34.154.4.189,443,443,true,FRA,Europe,Frankfurt,249,5.06
34.116.244.60,443,443,true,FRA,Europe,Frankfurt,361,5.06
34.90.18.246,443,443,true,FRA,Europe,Frankfurt,256,5.06
34.32.165.227,443,443,true,FRA,Europe,Frankfurt,257,5.06
34.90.58.125,443,443,true,FRA,Europe,Frankfurt,258,5.05
34.65.59.26,443,443,true,FRA,Europe,Frankfurt,249,5.05
34.118.100.30,443,443,true,FRA,Europe,Frankfurt,289,5.05
34.32.138.113,443,443,true,FRA,Europe,Frankfurt,265,5.05
34.65.114.157,443,443,true,FRA,Europe,Frankfurt,257,5.04
34.65.185.49,443,443,true,FRA,Europe,Frankfurt,249,5.03
34.147.8.211,443,443,true,FRA,Europe,Frankfurt,258,5.03
34.65.77.172,443,443,true,FRA,Europe,Frankfurt,250,5.03
34.65.253.167,443,443,true,FRA,Europe,Frankfurt,252,5.02
34.65.211.8,443,443,true,FRA,Europe,Frankfurt,252,5.02
34.89.206.136,443,443,true,FRA,Europe,Frankfurt,250,5.01
34.91.83.22,443,443,true,FRA,Europe,Frankfurt,264,5.01
34.89.152.161,443,443,true,FRA,Europe,Frankfurt,307,5.00
34.91.11.74,443,443,true,FRA,Europe,Frankfurt,258,5.00
34.65.204.227,443,443,true,FRA,Europe,Frankfurt,271,5.00
34.147.18.239,443,443,true,FRA,Europe,Frankfurt,255,5.00
34.154.40.78,443,443,true,FRA,Europe,Frankfurt,251,4.99
34.90.106.152,443,443,true,FRA,Europe,Frankfurt,258,4.99
34.107.60.227,443,443,true,FRA,Europe,Frankfurt,296,4.98
34.118.122.157,443,443,true,FRA,Europe,Frankfurt,283,4.98
34.90.91.229,443,443,true,FRA,Europe,Frankfurt,259,4.97
34.89.255.52,443,443,true,FRA,Europe,Frankfurt,250,4.96
34.154.13.238,443,443,true,FRA,Europe,Frankfurt,252,4.96
34.65.211.97,443,443,true,FRA,Europe,Frankfurt,253,4.96
34.90.195.121,443,443,true,FRA,Europe,Frankfurt,256,4.96
34.90.235.70,443,443,true,FRA,Europe,Frankfurt,264,4.96
34.34.40.79,443,443,true,FRA,Europe,Frankfurt,267,4.95
34.65.222.97,443,443,true,FRA,Europe,Frankfurt,251,4.95
34.90.46.109,443,443,true,FRA,Europe,Frankfurt,266,4.94
34.116.159.95,443,443,true,FRA,Europe,Frankfurt,298,4.94
34.89.175.145,443,443,true,FRA,Europe,Frankfurt,262,4.94
34.32.215.63,443,443,true,FRA,Europe,Frankfurt,259,4.94
34.159.131.159,443,443,true,FRA,Europe,Frankfurt,308,4.94
34.65.3.147,443,443,true,FRA,Europe,Frankfurt,251,4.93
34.32.209.205,443,443,true,FRA,Europe,Frankfurt,263,4.92
34.91.133.176,443,443,true,FRA,Europe,Frankfurt,263,4.91
34.65.48.167,443,443,true,FRA,Europe,Frankfurt,253,4.91
34.65.226.240,443,443,true,FRA,Europe,Frankfurt,250,4.91
34.65.202.238,443,443,true,FRA,Europe,Frankfurt,257,4.90
34.65.119.65,443,443,true,FRA,Europe,Frankfurt,257,4.90
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,249,4.89
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,260,4.88
34.65.253.167,443,443,true,FRA,Europe,Frankfurt,261,4.88
34.154.87.65,443,443,true,FRA,Europe,Frankfurt,274,4.88
34.116.251.158,443,443,true,FRA,Europe,Frankfurt,326,4.88
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,261,4.87
34.154.170.44,443,443,true,FRA,Europe,Frankfurt,249,4.87
34.65.222.97,443,443,true,FRA,Europe,Frankfurt,250,4.87
34.91.15.225,443,443,true,FRA,Europe,Frankfurt,298,4.87
34.118.101.112,443,443,true,FRA,Europe,Frankfurt,280,4.86
34.118.37.122,443,443,true,FRA,Europe,Frankfurt,342,4.86
34.116.234.141,443,443,true,FRA,Europe,Frankfurt,314,4.85
34.65.125.9,443,443,true,FRA,Europe,Frankfurt,249,4.85
34.154.180.110,443,443,true,FRA,Europe,Frankfurt,249,4.84
34.91.44.41,443,443,true,FRA,Europe,Frankfurt,260,4.84
34.154.69.73,443,443,true,FRA,Europe,Frankfurt,252,4.84
34.34.37.231,443,443,true,FRA,Europe,Frankfurt,269,4.84
34.90.46.109,443,443,true,FRA,Europe,Frankfurt,258,4.84
34.159.73.243,443,443,true,FRA,Europe,Frankfurt,285,4.83
34.65.34.181,443,443,true,FRA,Europe,Frankfurt,253,4.83
34.90.29.225,443,443,true,FRA,Europe,Frankfurt,264,4.83
34.65.226.240,443,443,true,FRA,Europe,Frankfurt,255,4.83
34.141.127.32,443,443,true,FRA,Europe,Frankfurt,249,4.83
34.118.8.60,443,443,true,FRA,Europe,Frankfurt,384,4.82
34.159.76.62,443,443,true,FRA,Europe,Frankfurt,281,4.82
34.89.255.52,443,443,true,FRA,Europe,Frankfurt,256,4.82
34.65.3.147,443,443,true,FRA,Europe,Frankfurt,259,4.82
34.65.29.231,443,443,true,FRA,Europe,Frankfurt,254,4.82
34.90.46.109,443,443,true,FRA,Europe,Frankfurt,265,4.82
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,293,4.82
34.118.74.5,443,443,true,FRA,Europe,Frankfurt,274,4.81
34.65.242.186,443,443,true,FRA,Europe,Frankfurt,259,4.81
34.91.183.32,443,443,true,FRA,Europe,Frankfurt,260,4.81
34.65.29.231,443,443,true,AMS,Europe,Amsterdam,255,4.81
34.107.84.248,443,443,true,FRA,Europe,Frankfurt,250,4.81
34.65.54.201,443,443,true,FRA,Europe,Frankfurt,251,4.81
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,252,4.81
34.32.205.67,443,443,true,FRA,Europe,Frankfurt,258,4.81
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,261,4.80
